mctop "em see top"
uprobe "you probe"
kubectl "kube see tee el"
keylen "kee len"
mcsnoop "em see snoop"
memtier "mem tier"
libpcap "lib pee cap"
memtier "stats dee"
bpftrace "bee pee eff trace"
tracepoints "tracepoints"
dtrace "dee trace"
ubuntu "ooh bun too"
sys\\\/sdt.h "sis forward slash ess dee tee dot h"
quay "kway"
mysqld_qslower.py "my see quil dee queue slower dot pie"
ucalls.py "yoo calls dot pie"
slabratetop.py "slab rate top dot pie"
libstapsdt "lib ess tap ess dee tee"
int8_t "int... 8 tee"
uint8_t "u int... 8 tee"
int16_t "int... 16 tee"
uint16_t "u int... 16 tee"
int32_t "int... 32 tee"
uint32_t "uint... 32 tee"
int64_t "int... 64 tee"
uint64_t "u int... 64 tee"
keystr "key stir"
timestamp "time stamp"
0xFF "zero ex eff eff"
0x7F "zero ex seven eff"
"indirect read" "indirect reed"
bitwise AND "bitwise... AND..."
libbpf "lib bee pee eff"
"probe read" "probe reed"
